Time (ms),Velocity (m/s),Altitude (m),Pitch (degree),Yaw (degree),Extension Level,Motor Burning,Acceleration (m/s^2)
0,149.95,0.75,1,1,2,True,-10
5,149.89999999999998,1.49975,1,1,2,True,-10
10,149.84999999999997,2.24925,1,1,2,True,-10
15,149.79999999999995,2.9985,1,1,2,True,-10
20,149.74999999999994,3.7474999999999996,1,1,2,True,-10
25,149.69999999999993,4.496249999999999,1,1,2,True,-10
30,149.64999999999992,5.244749999999999,1,1,2,True,-10
35,149.5999999999999,5.9929999999999986,1,1,2,True,-10
40,149.5499999999999,6.740999999999998,1,1,2,True,-10
45,149.4999999999999,7.488749999999998,1,1,2,True,-10
50,149.44999999999987,8.236249999999997,1,1,2,True,-10
55,149.39999999999986,8.983499999999996,1,1,2,True,-10
60,149.34999999999985,9.730499999999996,1,1,2,True,-10
65,149.29999999999984,10.477249999999994,1,1,2,True,-10
70,149.24999999999983,11.223749999999994,1,1,2,True,-10
75,149.19999999999982,11.969999999999994,1,1,2,True,-10
80,149.1499999999998,12.715999999999992,1,1,2,True,-10
85,149.0999999999998,13.461749999999991,1,1,2,True,-10
90,149.04999999999978,14.207249999999991,1,1,2,True,-10
95,148.99999999999977,14.95249999999999,1,1,2,True,-10
100,148.94999999999976,15.69749999999999,1,1,2,True,-10
105,148.89999999999975,16.442249999999987,1,1,2,True,-10
110,148.84999999999974,17.186749999999986,1,1,2,True,-10
115,148.79999999999973,17.930999999999983,1,1,2,True,-10
120,148.74999999999972,18.674999999999983,1,1,2,True,-10
125,148.6999999999997,19.41874999999998,1,1,2,True,-10
130,148.6499999999997,20.16224999999998,1,1,2,True,-10
135,148.59999999999968,20.90549999999998,1,1,2,True,-10
140,148.54999999999967,21.648499999999977,1,1,2,True,-10
145,148.49999999999966,22.391249999999975,1,1,2,True,-10
150,148.44999999999965,23.133749999999974,1,1,2,True,-10
155,148.39999999999964,23.875999999999973,1,1,2,True,-10
160,148.34999999999962,24.61799999999997,1,1,2,True,-10
165,148.2999999999996,25.35974999999997,1,1,2,True,-10
170,148.2499999999996,26.10124999999997,1,1,2,True,-10
175,148.1999999999996,26.842499999999966,1,1,2,True,-10
180,148.14999999999958,27.583499999999965,1,1,2,True,-10
185,148.09999999999957,28.324249999999964,1,1,2,True,-10
190,148.04999999999956,29.06474999999996,1,1,2,True,-10
195,147.99999999999955,29.804999999999957,1,1,2,True,-10
200,147.94999999999953,30.544999999999956,1,1,2,True,-10
205,147.89999999999952,31.284749999999953,1,1,2,True,-10
210,147.8499999999995,32.02424999999995,1,1,2,True,-10
215,147.7999999999995,32.76349999999995,1,1,2,True,-10
220,147.7499999999995,33.50249999999995,1,1,2,True,-10
225,147.69999999999948,34.241249999999944,1,1,2,True,-10
230,147.64999999999947,34.97974999999994,1,1,2,True,-10
235,147.59999999999945,35.71799999999994,1,1,2,True,-10
240,147.54999999999944,36.45599999999994,1,1,2,True,-10
245,147.49999999999943,37.19374999999994,1,1,2,True,-10
250,147.44999999999942,37.931249999999935,1,1,2,True,-10
255,147.3999999999994,38.66849999999993,1,1,2,True,-10
260,147.3499999999994,39.405499999999925,1,1,2,True,-10
265,147.2999999999994,40.14224999999992,1,1,2,True,-10
270,147.24999999999937,40.87874999999992,1,1,2,True,-10
275,147.19999999999936,41.61499999999992,1,1,2,True,-10
280,147.14999999999935,42.350999999999914,1,1,2,True,-10
285,147.09999999999934,43.08674999999991,1,1,2,True,-10
290,147.04999999999933,43.822249999999904,1,1,2,True,-10
295,146.99999999999932,44.5574999999999,1,1,2,True,-10
300,146.9499999999993,45.2924999999999,1,1,2,True,-10
305,146.8999999999993,46.027249999999896,1,1,2,True,-10
310,146.84999999999928,46.76174999999989,1,1,2,True,-10
315,146.79999999999927,47.49599999999989,1,1,2,True,-10
320,146.74999999999926,48.22999999999988,1,1,2,True,-10
325,146.69999999999925,48.96374999999988,1,1,2,True,-10
330,146.64999999999924,49.697249999999876,1,1,2,True,-10
335,146.59999999999923,50.430499999999874,1,1,2,True,-10
340,146.54999999999922,51.16349999999987,1,1,2,True,-10
345,146.4999999999992,51.89624999999987,1,1,2,True,-10
350,146.4499999999992,52.62874999999986,1,1,2,True,-10
355,146.39999999999918,53.360999999999855,1,1,2,True,-10
360,146.34999999999917,54.092999999999854,1,1,2,True,-10
365,146.29999999999916,54.82474999999985,1,1,2,True,-10
370,146.24999999999915,55.55624999999985,1,1,2,True,-10
375,146.19999999999914,56.287499999999845,1,1,2,True,-10
380,146.14999999999912,57.01849999999984,1,1,2,True,-10
